Accession,Strain,Genus,Geo_Location,Host,Animal,suborder,Family,Year,novel,mada
OQ606244,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Yinpterochiroptera,Pteropodidae,2018,1,1
KY575644,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575645,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575646,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575647,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575648,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575649,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575650,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575651,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575652,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575653,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
KY575654,Bat astrovirus,Mamastrovirus,Madagascar,Myotis goudoti,Bat,Yangochiroptera,Vespertilionidae,2014,0,1
KY575655,Bat astrovirus,Mamastrovirus,Madagascar,Myotis goudoti,Bat,Yangochiroptera,Vespertilionidae,2014,0,1
KY575656,Bat astrovirus,Mamastrovirus,Madagascar,Myotis goudoti,Bat,Yangochiroptera,Vespertilionidae,2014,0,1
KY575657,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575658,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575659,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575660,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575661,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575662,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575663,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575664,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575665,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575666,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Yinpterochiroptera,Pteropodidae,2014,0,1
KY575667,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Yinpterochiroptera,Pteropodidae,2014,0,1
KY575668,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575669,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575670,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575671,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575672,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575673,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2014,0,1
KY575674,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Yangochiroptera,Miniopteridae,2014,0,1
MZ614404,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614405,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614406,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus mahafaliensis,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614407,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614408,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614409,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614410,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614411,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614412,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614413,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614414,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614415,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614416,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Yangochiroptera,Miniopteridae,2012,0,1
