Accession,Strain,Genus,Geo_Location,Host,Animal,suborder,Family,Year,novel,mada
MZ614417,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus mahafaliensis,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614418,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus sororculus,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614419,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus sororculus,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614420,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus sororculus,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614421,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2012,0,1
MZ614422,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2012,0,1
MZ614423,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2012,0,1
MZ614424,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2012,0,1
MZ614425,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Yinpterochiroptera,Rhinonycteridae,2012,0,1
MZ614426,Bat astrovirus,Mamastrovirus,Madagascar,Chaerephon leucogaster,Bat,Yangochiroptera,Molossidae,2018,0,1
MZ614427,Bat astrovirus,Mamastrovirus,Madagascar,Mops leucostigma,Bat,Yangochiroptera,Molossidae,2018,0,1
MZ614428,Bat astrovirus,Mamastrovirus,Madagascar,Mops leucostigma,Bat,Yangochiroptera,Molossidae,2018,0,1
MZ614429,Bat astrovirus,Mamastrovirus,Madagascar,Macronycteris commersoni,Bat,Yinpterochiroptera,Hipposideridae,2012,0,1
MZ614430,Bat astrovirus,Mamastrovirus,Madagascar,Macronycteris commersoni,Bat,Yinpterochiroptera,Hipposideridae,2012,0,1
MZ614431,Bat astrovirus,Mamastrovirus,Madagascar,Macronycteris commersoni,Bat,Yinpterochiroptera,Hipposideridae,2012,0,1
MZ614432,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614433,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614434,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614435,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
MZ614436,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Yangochiroptera,Miniopteridae,2012,0,1
NC_002470,Turkey astrovirus,Avastrovirus,Unknown,Meleagris gallopavo,Turkey,,Phasianidae,XXXX,0,0
MK966904,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2016,0,0
MK966905,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2016,0,0
MK966906,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2016,0,0
MK966907,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2016,0,0
MK966908,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2016,0,0
MK966909,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966910,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966911,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966912,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966913,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966914,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966915,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966916,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966917,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MK966918,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MZ274075,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MZ274076,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MZ274077,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2017,0,0
MZ274078,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274079,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274080,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274081,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274082,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274083,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274084,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274085,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MZ274086,Bat astrovirus,Mamastrovirus,Reunion Island,Mormopterus sp.,Bat,Yangochiroptera,Molossidae,2018,0,0
MH013965,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013966,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013967,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013968,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013969,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013970,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013971,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013972,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013973,Bat astrovirus,Mamastrovirus,Mozambique,Hipposideros caffer,Bat,Yinpterochiroptera,Hipposideridae,2015,0,0
MH013974,Bat astrovirus,Mamastrovirus,Mozambique,Miniopterus mossambicus,Bat,Yangochiroptera,Miniopteridae,2015,0,0
MH013975,Bat astrovirus,Mamastrovirus,Mozambique,Mops condylurus,Bat,Yangochiroptera,Molossidae,2015,0,0
MH013976,Bat astrovirus,Mamastrovirus,Mozambique,Nycteris thebaica,Bat,Yangochiroptera,Nycteridae,2015,0,0
MH013977,Bat astrovirus,Mamastrovirus,Mozambique,Nycteris thebaica,Bat,Yangochiroptera,Nycteridae,2015,0,0
MH013978,Bat astrovirus,Mamastrovirus,Mozambique,Nycteris thebaica,Bat,Yangochiroptera,Nycteridae,2015,0,0
MH013979,Bat astrovirus,Mamastrovirus,Mozambique,Nycteris thebaica,Bat,Yangochiroptera,Nycteridae,2015,0,0
MH013980,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013981,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013982,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013983,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013984,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013985,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013986,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013987,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013988,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013989,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013990,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013991,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013992,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013993,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013994,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
MH013995,Bat astrovirus,Mamastrovirus,Mozambique,Triaenops afer,Bat,Yinpterochiroptera,Rhinonycteridae,2015,0,0
